Qe_ANN_W,Err_Qe_W
6408.972236,109.7983777
6767.290032,112.0960955
9054.105468,25.17697727
8889.506809,94.58074072
5632.33085,41.9187103
8488.154252,105.9321404
7311.177293,-70.66192541
10736.64671,16.43048682
16360.84899,-443.1436538
13711.1578,31.91636349
24232.87605,-306.1898928
14811.34228,33.36258497
25703.03842,-162.7912101
6025.724588,105.6486891
11816.15737,95.79084176
15156.37944,65.4365916
5587.942095,25.26972733
8841.177639,118.9890882
20598.80213,233.0744306
9425.335631,-84.71782283
18711.72408,-59.48536709
32281.72005,-395.0354936
7539.276002,37.24324113
9638.558339,-96.02194364
21599.03301,92.83818406
19575.3589,85.19162375
6408.60042,103.8676765
6315.778934,85.25854051
19590.25467,104.906498
8287.598252,85.26789228
9386.923774,-87.09784014
8513.971021,101.8000249
8736.521214,58.45200448
9237.933533,-10.93762363
8163.056057,75.10837076
24535.80129,14.6151008
6902.617901,-15.58900804
20748.64665,115.6705617
11159.1828,-39.32891627
5619.401665,45.37180751
12813.43006,14.05814862
28996.40164,167.2481345
6478.156776,72.19839358
5900.672008,41.95253075
10734.29143,-101.3052954
7752.636693,-29.92532141
26230.81432,-45.90537877
6366.739737,100.9318785
5943.565635,59.69503556
16123.57125,20.91608073
12727.79724,-38.13874146
6646.865899,92.97963608
14602.30612,96.40804032
6344.086549,62.01701207
9284.066577,78.15511463
5479.175407,-14.63373172
17254.79397,19.78514295
8494.477772,64.94777759
24162.99131,17.38206329
10003.67667,-29.18389698
9308.031036,59.70738754
7340.564565,-33.52794816
13212.24639,-125.1626369
7327.852078,-27.57021056
5422.174373,7.729135584
9488.263437,-118.1907655
13532.08025,14.87757354
16028.26065,17.13751437
7101.631425,-10.90708576
10316.90018,-55.48266314
6105.780822,70.99222304
12211.15035,-14.61493936
6171.329417,89.10209488
7409.373299,-91.93124973
19501.09863,-5.541093485
6534.39418,73.91772201
8728.048547,48.14890391
6849.510191,29.48410076
5993.185197,32.56266892
12596.4126,-13.27733081
15217.88955,-47.53336473
7399.615537,-79.97332138
11350.19589,20.10538304
6691.335921,52.10827835
10127.12702,-56.83772737
14044.10468,-21.95199943
6560.900037,129.5221784
12355.67295,53.68274912
